long,lat
41.00659,72.19548
41.03216,72.31915
41.04022,72.39526
41.01827,72.50055
41.01522,72.5061
40.95383,72.57971
40.93105,72.60359
40.92689,72.60693
40.92244,72.60915
40.90688,72.61276
40.89772,72.6172
40.88938,72.6236
40.88522,72.63165
40.87911,72.65999
40.87049,72.70221
40.8691,72.72554
40.86771,72.89943
40.86827,73.04915
40.84716,73.15248
40.8441,73.15804
40.83216,73.16887
40.823,73.17304
40.81716,73.17026
40.79967,73.14722
40.77882,73.1122
40.77132,73.0961
40.71272,72.94359
40.69327,72.87804
40.68883,72.85193
40.67716,72.80971
40.67466,72.80443
40.67133,72.79971
40.58494,72.71054
40.54327,72.67748
40.53799,72.67581
40.53271,72.67249
40.52854,72.66859
40.52187,72.65915
40.51688,72.64861
40.51355,72.63638
40.51327,72.62192
40.51854,72.59721
40.52132,72.59055
40.52744,72.57971
40.61586,72.40952
40.61716,72.40332
40.61688,72.3961
40.61493,72.38547
40.60466,72.37026
40.59855,72.36943
40.593,72.36943
40.53133,72.37886
40.52105,72.38109
40.50716,72.39972
40.49883,72.41805
40.48966,72.43442
40.48605,72.43858
40.47771,72.44525
40.46438,72.45305
40.45299,72.45305
40.43382,72.44637
40.40465,72.43276
40.38882,72.4236
40.38688,72.41748
40.39271,72.39388
40.40937,72.34526
40.43188,72.28777
40.44576,72.27638
40.44854,72.28166
40.45271,72.28581
40.45882,72.28665
40.46243,72.28249
40.46549,72.25804
40.46455,72.22705
40.46494,72.20694
40.46383,72.18553
40.46022,72.1736
40.43382,72.11388
40.43077,72.11026
40.33437,72.01277
40.26633,72.04387
40.25049,71.9036
40.19994,71.81387
40.19132,71.80582
40.18382,71.79721
40.17688,71.78804
40.17188,71.77748
40.14938,71.72221
40.14577,71.71054
40.14716,71.70194
40.21549,71.52416
40.22382,71.50555
40.2327,71.49027
40.23632,71.48581
40.24049,71.48248
40.24493,71.48027
40.25967,71.4772
40.268,71.47304
40.27216,71.46971
40.27522,71.46443
40.30188,71.38998
40.30994,71.29915
40.28716,71.24664
40.27744,71.13916
40.27799,71.09415
40.27772,71.07166
40.27744,71.06415
40.27022,70.99915
40.26772,70.99387
40.26244,70.99054
40.24484,70.98204
40.24494,70.95776
40.24271,70.87053
40.23966,70.85082
40.22827,70.8225
40.2191,70.79305
40.21049,70.75555
40.20771,70.7422
40.20382,70.7161
40.20549,70.64888
40.20632,70.6411
40.21021,70.62581
40.21355,70.62137
40.22881,70.60582
40.23743,70.59999
40.25521,70.58943
40.34966,70.46527
40.35105,70.45665
40.3764,70.37553
40.43062,70.34517
40.44438,70.33998
40.44994,70.34055
40.45828,70.34665
40.46827,70.36388
40.47438,70.37608
40.49105,70.41527
40.55938,70.53499
40.67327,70.73109
40.67689,70.73692
40.70633,70.77748
40.72559,70.7968
40.74439,70.78888
40.75245,70.78221
40.75551,70.77666
40.76051,70.76361
40.76245,70.75583
40.76967,70.71693
40.77106,70.70804
40.82745,70.66721
40.87022,70.65804
40.97744,70.5486
41.03023,70.48109
41.03717,70.47192
41.04023,70.46639
41.03875,70.46515
41.04328,70.46082
41.04829,70.44748
41.05022,70.43054
41.04912,70.42387
41.04634,70.41138
41.04245,70.39943
41.03995,70.39415
41.03634,70.38944
41.02773,70.38165
41.02272,70.37859
41.01023,70.37415
41.0044,70.37442
40.99939,70.37581
40.97689,70.3772
40.96495,70.37665
40.95828,70.3747
40.94717,70.36914
40.93716,70.36276
40.93272,70.35887
40.90439,70.33028
40.89411,70.31667
40.86051,70.25777
40.8558,70.24803
40.76998,70.05026
40.74749,69.97887
40.74471,69.96639
40.74027,69.93997
40.73388,69.90027
40.72249,69.84721
40.71555,69.82304
40.71305,69.81776
40.70583,69.80859
40.68443,69.78943
40.675,69.78249
40.65777,69.76749
40.64722,69.75388
40.645,69.74971
40.64055,69.73859
40.6386,69.73248
40.6375,69.72609
40.6386,69.70999
40.64166,69.69359
40.64361,69.68581
40.64999,69.67581
40.66055,69.6622
40.71888,69.5936
40.7311,69.58305
40.74916,69.57332
40.75333,69.56972
40.77943,69.53998
40.78221,69.53442
40.8111,69.45915
40.81221,69.45055
40.80999,69.4372
40.80222,69.4061
40.80027,69.40027
40.79472,69.38998
40.77943,69.36527
40.77249,69.35609
40.76888,69.35165
40.76472,69.34804
40.74972,69.33971
40.59554,69.26999
40.50722,69.25722
40.49833,69.26221
40.37471,69.32832
40.33916,69.33832
40.32777,69.33916
40.21194,69.32138
40.2075,69.31749
40.20139,69.30803
40.19666,69.29694
40.1911,69.24915
40.18971,69.23526
40.19138,69.2186
40.19415,69.20139
40.19694,69.18692
40.20638,69.14082
40.21111,69.12747
